# pinax figure data — xlabel=t ylabel=x(t)
series,x,y
y1,6.77,0.010300032797459042
y1,6.78,0.007480830095941455
y1,6.79,0.004674492863184261
y1,6.8,0.0018834823031697785
y1,6.81,-0.0008897714802653751
y1,6.82,-0.0036428714754408176
y1,6.83,-0.006373455710870218
y1,6.84,-0.009079199157857118
y1,6.85,-0.01175781558623989
y1,6.86,-0.014407059371922822
y1,6.87,-0.017024727254886095
y1,6.88,-0.01960866004643021
y1,6.89,-0.022156744284442902
y1,6.9,-0.024666913835561296
y1,6.91,-0.02713715144312968
y1,6.92,-0.02956549021993833
y1,6.93,-0.03195001508475799
y1,6.94,-0.034288864141764096
y1,6.95,-0.036580230001994764
y1,6.96,-0.0388223610460428
y1,6.97,-0.04101356262724716
y1,6.98,-0.04315219821470076
y1,6.99,-0.045236690475460806
y1,7.0,-0.04726552229539914
y1,7.01,-0.049237237738190824
y1,7.02,-0.051150442942005145
y1,7.03,-0.05300380695351628
y1,7.04,-0.054796062498910454
y1,7.05,-0.05652600669163276
y1,7.06,-0.05819250167666921
y1,7.07,-0.05979447521121917
y1,7.08,-0.06133092118167855
y1,7.09,-0.06280090005690384
y1,7.1,-0.06420353927779257
y1,7.11,-0.06553803358326817
y1,7.12,-0.06680364527281601
y1,7.13,-0.06799970440577965
y1,7.14,-0.06912560893766898
y1,7.15,-0.07018082479380393
y1,7.16,-0.07116488588065702
y1,7.17,-0.0720773940353255
y1,7.18,-0.07291801891360475
y1,7.19,-0.07368649781719644
y1,7.2,-0.07438263546063249
y1,7.21,-0.07500630367854641
y1,7.22,-0.07555744107397543
y1,7.23,-0.07603605260842242
y1,7.24,-0.07644220913445934
y1,7.25,-0.07677604687169554
y1,7.26,-0.07703776682698285
y1,7.27,-0.07722763415977463
y1,7.28,-0.07734597749359672
y1,7.29,-0.07739318817463285
y1,7.3,-0.07736971947846724
y1,7.31,-0.07727608576606722
y1,7.32,-0.07711286159012672
y1,7.33,-0.0768806807529298
y1,7.34,-0.07658023531692819
y1,7.35,-0.07621227456926279
y1,7.36,-0.07577760394149058
y1,7.37,-0.07527708388581301
y1,7.38,-0.07471162870912851
y1,7.39,-0.07408220536626575
y1,7.4,-0.07338983221377698
y1,7.41,-0.07263557772570155
y1,7.42,-0.07182055917272961
y1,7.43,-0.07094594126622496
y1,7.44,-0.0700129347685823
y1,7.45,-0.06902279507141837
y1,7.46,-0.06797682074311272
y1,7.47,-0.06687635204723288
y1,7.48,-0.06572276943339415
y1,7.49,-0.06451749200211693
y1,7.5,-0.06326197594525869
y1,7.51,-0.06195771296361034
y1,7.52,-0.060606228663251875
y1,7.53,-0.05920908093227476
y1,7.54,-0.057767858299484616
y1,7.55,-0.056284178276699154
y1,7.56,-0.054759685686264215
y1,7.57,-0.05319605097541262
y1,7.58,-0.05159496851908652
y1,7.59,-0.049958154912849724
y1,7.6,-0.04828734725750827
y1,7.61,-0.046584301437058336
y1,7.62,-0.044850790391573817
y1,7.63,-0.04308860238663382
y1,7.64,-0.04129953928089556
y1,7.65,-0.039485414793391994
y1,7.66,-0.03764805277213892
y1,7.67,-0.03578928546560771
y1,7.68,-0.033910951798623135
y1,7.69,-0.0320148956542181
y1,7.7,-0.030102964162965446
y1,7.71,-0.02817700600129164
y1,7.72,-0.026238869700254287
y1,7.73,-0.024290401966251107
y1,7.74,-0.02233344601509956
y1,7.75,-0.020369839920910182
y1,7.76,-0.018401414981153108
y1,7.77,-0.016429994099287172
y1,7.78,-0.014457390186301218
y1,7.79,-0.012485404582490624
y1,7.8,-0.010515825500758485
y1,7.81,-0.008550426492708457
y1,7.82,-0.006590964938766446
y1,7.83,-0.004639180563531892
y1,7.84,-0.002696793977535668
y1,7.85,-0.0007655052465435286
y1,7.86,0.0011530075104845374
y1,7.87,0.0030570894937040362
y1,7.88,0.004945110563930626
y1,7.89,0.00681546655240469
y1,7.9,0.00866658053781749
y1,7.91,0.010496904089656686
y1,7.92,0.012304918476986308
y1,7.93,0.014089135841793648
y1,7.94,0.015848100336089382
y1,7.95,0.01758038922197971
y1,7.96,0.019284613933966795
y1,7.97,0.020959421102777896
y1,7.98,0.022603493540057293
y1,7.99,0.024215551183303152
y1,8.0,0.025794352000465582
y1,8.01,0.027338692853663315
y1,8.02,0.028847410321522736
y1,8.03,0.030319381479678182
y1,8.04,0.03175352463901558
y1,8.05,0.033148800041283795
y1,8.06,0.03450421051173881
y1,8.07,0.035818802068528874
y1,8.08,0.03709166448856342
y1,8.09,0.038321931829660726
y1,8.1,0.0395087829088017
y1,8.11,0.04065144173636111
y1,8.12,0.04174917790622924
y1,8.13,0.04280130694177772
y1,8.14,0.04380719059766186
y1,8.15,0.04476623711749382
y1,8.16,0.04567790144745988
y1,8.17,0.046541685405995896
y1,8.18,0.0473571378096717
y1,8.19,0.0481238545554764
y1,8.2,0.04884147865973438
y1,8.21,0.04950970025391844
y1,8.22,0.05012825653766361
y1,8.23,0.050696931689325736
y1,8.24,0.051215556734459294
y1,8.25,0.05168400937262908
y1,8.26,0.05210221376300335
y1,8.27,0.052470140269211374
y1,8.28,0.05278780516398103
y1,8.29,0.05305527029410525
y1,8.3,0.05327264270631896
y1,8.31,0.05344007423469949
y1,8.32,0.053557761050233556
y1,8.33,0.053625943173223736
y1,8.34,0.05364490394923791
y1,8.35,0.0536149694893316
y1,8.36,0.053536508075301345
y1,8.37,0.05340992953075372
